MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
NMOSE_Water Uses,NMOSE,NM_C_1,NMOSE_Consumptive Use,NM_C_1,,125483.15625,Public Water Supply,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_1,NMOSE_Consumptive Use,NM_C_1,,3561.89990234375,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_1,NMOSE_Consumptive Use,NM_C_1,,4037.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_1,NMOSE_Consumptive Use,NM_C_1,,753.2000122070309,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_1,NMOSE_Consumptive Use,NM_C_1,,3711.30004882813,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_1,NMOSE_Consumptive Use,NM_C_1,,485.049987792969,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_1,NMOSE_Consumptive Use,NM_C_1,,324.739990234375,Mining (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_1,NMOSE_Consumptive Use,NM_C_1,,179.360000610352,Power (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_1,NMOSE_Consumptive Use,NM_C_1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_2,NMOSE_Consumptive Use,NM_C_1,,125.44000244140601,Public Water Supply,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_2,NMOSE_Consumptive Use,NM_C_1,,136.789993286133,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_2,NMOSE_Consumptive Use,NM_C_1,,1869.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_2,NMOSE_Consumptive Use,NM_C_1,,332.459991455078,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_2,NMOSE_Consumptive Use,NM_C_1,,16.3500003814697,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_2,NMOSE_Consumptive Use,NM_C_1,,11.130000114440902,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_2,NMOSE_Consumptive Use,NM_C_1,,3.50999999046326,Mining (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_2,NMOSE_Consumptive Use,NM_C_1,,0.0,Power (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_2,NMOSE_Consumptive Use,NM_C_1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_3,NMOSE_Consumptive Use,NM_C_1,,16273.4501953125,Public Water Supply,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_3,NMOSE_Consumptive Use,NM_C_1,,586.409973144531,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_3,NMOSE_Consumptive Use,NM_C_1,,266461.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_3,NMOSE_Consumptive Use,NM_C_1,,2889.30004882813,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_3,NMOSE_Consumptive Use,NM_C_1,,2801.65991210938,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_3,NMOSE_Consumptive Use,NM_C_1,,157.389999389648,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_3,NMOSE_Consumptive Use,NM_C_1,,148.539993286133,Mining (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_3,NMOSE_Consumptive Use,NM_C_1,,0.0,Power (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_3,NMOSE_Consumptive Use,NM_C_1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_4,NMOSE_Consumptive Use,NM_C_1,,2854.10009765625,Public Water Supply,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_4,NMOSE_Consumptive Use,NM_C_1,,842.849975585938,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_4,NMOSE_Consumptive Use,NM_C_1,,1354.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_4,NMOSE_Consumptive Use,NM_C_1,,211.190002441406,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_4,NMOSE_Consumptive Use,NM_C_1,,53.779998779296896,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_4,NMOSE_Consumptive Use,NM_C_1,,9.93000030517578,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
NMOSE_Water Uses,NMOSE,NM_C_4,NMOSE_Consumptive Use,NM_C_1,,3859.32006835938,Mining (self-supplied),,,,06/25/2020,,,,,,,,,,1990,,12/31,01/01
